date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:22	857850/857850	---M-Z	200	added ('OK')	text/javascript	etag:%2226d1235e5f963cac08ef23d92721328c%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-088ec0120fdbcfed-min.en-US.js	./ranierespeaks-mirror/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-088ec0120fdbcfed-min.en-US.js	(from https://www.ranierespeaks.com/)
11:17:25	30771/30771	---M-Z	200	added ('OK')	text/javascript	etag:%221932db3fb914d08b60764fd6b99ee6dc%22	http://assets.squarespace.com/universal/scripts-compressed/performance-d4bf626f4e6e1501-min.en-US.js	./ranierespeaks-mirror/assets.squarespace.com/universal/scripts-compressed/performance-d4bf626f4e6e1501-min.en-US.js	(from https://www.ranierespeaks.com/)
11:17:27	246255/246255	---M-Z	200	added ('OK')	text/javascript	etag:%22d7acfe85de3cc869663d8ca43a3b5eff%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-54bab8bb8a15366b-min.en-US.js	./ranierespeaks-mirror/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-54bab8bb8a15366b-min.en-US.js	(from https://www.ranierespeaks.com/)
11:17:50	714060/714060	---M-Z	200	added ('OK')	text/javascript	etag:%228c040c4e5ede6306499a8be95cce0b80%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-6e74a2a97d17c5e3-min.en-US.js	./ranierespeaks-mirror/assets.squarespace.com/universal/scripts-compressed/common-vendors-6e74a2a97d17c5e3-min.en-US.js	(from https://www.ranierespeaks.com/)
11:18:02	1101756/1101756	---M-Z	200	added ('OK')	text/javascript	etag:W/%220d662e034e5cea45914fdae478344b77%22	http://assets.squarespace.com/universal/scripts-compressed/common-32374f54dbd3c35f-min.en-US.js	./ranierespeaks-mirror/assets.squarespace.com/universal/scripts-compressed/common-32374f54dbd3c35f-min.en-US.js	(from https://www.ranierespeaks.com/)
11:18:02	1490315/1490315	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Jun%202025%2015:17:25%20GMT	https://static1.squarespace.com/static/versioned-site-css/5f8b59649453d840fef3dddc/51/5c5a519771c10ba3470d8101/5f8b59689453d840fef3ddfa/1648/site.css	./ranierespeaks-mirror/static1.squarespace.com/static/versioned-site-css/5f8b59649453d840fef3dddc/51/5c5a519771c10ba3470d8101/5f8b59689453d840fef3ddfa/1648/site.css	(from https://www.ranierespeaks.com/)
11:18:02	107/107	---M--	200	added ('OK')	text/css	etag:%22f35d738d9565e65328fa909f074ff6e4%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/1ab24abb-f147-44f7-a875-b9b08e2e1ddc_32/website.components.spacer.styles.css	./ranierespeaks-mirror/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/1ab24abb-f147-44f7-a875-b9b08e2e1ddc_32/website.components.spacer.styles.css	(from https://www.ranierespeaks.com/)
11:18:02	272/272	---M--	200	added ('OK')	application/javascript	etag:%224baeb45bb0baa921ac2668f21e048d4f%22	https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/1ab24abb-f147-44f7-a875-b9b08e2e1ddc_32/website.components.spacer.visitor.js	./ranierespeaks-mirror/definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/1ab24abb-f147-44f7-a875-b9b08e2e1ddc_32/website.components.spacer.visitor.js	(from https://www.ranierespeaks.com/)
11:18:04	330375/330375	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Jun%202025%2015:18:03%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1749578172414-BR2HRM5QY85P3RNH0UVV/static.css	./ranierespeaks-mirror/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1749578172414-BR2HRM5QY85P3RNH0UVV/static.css	(from https://www.ranierespeaks.com/)
11:18:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jun%202025%2015:18:05%20GMT	http://www.w3.org/2000/svg	./ranierespeaks-mirror/www.w3.org/2000/svg.12.delayed	(from https://www.ranierespeaks.com/)
11:18:06	67040/67040	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:18:04%20GMT	https://www.ranierespeaks.com/cart	./ranierespeaks-mirror/www.ranierespeaks.com/cart.html	(from https://www.ranierespeaks.com/)
11:18:07	1515/1515	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Mar%202025%2023:44:06%20GMT	https://www.w3.org/2000/svg	./ranierespeaks-mirror/www.w3.org/2000/svg.html	(from https://www.ranierespeaks.com/)
11:18:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jun%202025%2015:18:07%20GMT	http://www.w3.org/2000/symbol	./ranierespeaks-mirror/www.w3.org/2000/symbol	(from https://www.ranierespeaks.com/)
11:18:08	6803/6803	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jan%202025%2021:48:19%20GMT	https://www.w3.org/2000/symbol	./ranierespeaks-mirror/www.w3.org/2000/symbol	(from https://www.ranierespeaks.com/)
